epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1305.1,0.93298,1.39733,0.16796,0.48307,1.32903,0.9992,0.98413,0.985,0.73155,0.98859,0.97354,0.97338,0.77329,0.95479,0.81266,0.12159,0.38573,1.41477,0.0013466,0.0013466,0.0013466
68,1320.42,0.95913,1.32633,0.16463,0.50467,1.35314,0.99965,0.98413,0.985,0.72391,0.98893,0.97354,0.97186,0.76012,0.98997,0.84043,0.11363,0.36126,1.44715,0.0013367,0.0013367,0.0013367
69,1335.98,0.95875,1.29344,0.16798,0.51073,1.34824,0.99964,0.98413,0.985,0.73543,0.9889,0.97354,0.9732,0.76681,0.95887,0.8333,0.12653,0.36411,1.40802,0.0013268,0.0013268,0.0013268
70,1350.82,0.94631,1.26973,0.16462,0.50775,1.34063,0.99956,0.98413,0.985,0.72588,0.98917,0.97354,0.97095,0.78592,0.95327,0.76424,0.12459,0.37817,1.3974,0.0013169,0.0013169,0.0013169
71,1367.08,0.97184,1.38612,0.1635,0.52282,1.35273,0.99962,0.98413,0.985,0.7334,0.98895,0.97354,0.97284,0.79328,0.95658,0.78288,0.12362,0.37181,1.40132,0.001307,0.001307,0.001307
72,1382.11,0.94333,1.30179,0.16853,0.50047,1.33849,0.99952,0.98413,0.985,0.68974,0.98884,0.97354,0.97381,0.77453,1.06804,0.75927,0.12292,0.41296,1.531,0.0012971,0.0012971,0.0012971
73,1405.31,0.93316,1.23588,0.16312,0.48942,1.331,0.99909,0.98413,0.985,0.70189,0.99372,0.97884,0.97371,0.82679,1.02693,0.71654,0.11555,0.40012,1.49482,0.0012872,0.0012872,0.0012872
74,1428.12,0.95581,1.33406,0.16541,0.49444,1.34688,0.99964,0.98413,0.985,0.72433,0.99427,0.97884,0.97285,0.80549,0.96384,0.72729,0.11677,0.36351,1.4216,0.0012773,0.0012773,0.0012773
75,1451.26,0.94115,1.2901,0.16289,0.47526,1.33694,0.9996,0.98413,0.985,0.72354,0.98891,0.97354,0.97181,0.77258,0.95388,0.8288,0.1208,0.37072,1.41424,0.0012674,0.0012674,0.0012674
76,1473.57,0.92823,1.26131,0.16282,0.48975,1.33664,0.99963,0.98413,0.985,0.72306,0.99425,0.97884,0.97285,0.7967,0.9921,0.74992,0.12061,0.36149,1.46167,0.0012575,0.0012575,0.0012575
77,1496.36,0.94045,1.17824,0.15848,0.48228,1.33127,0.99966,0.98413,0.985,0.73527,0.98903,0.97354,0.97181,0.76834,0.96487,0.81076,0.11879,0.35928,1.41866,0.0012476,0.0012476,0.0012476
78,1518.61,0.95632,1.27632,0.16141,0.5,1.3415,0.99965,0.98413,0.985,0.71455,0.99428,0.97884,0.97349,0.77685,0.98064,0.73436,0.11631,0.36683,1.44539,0.0012377,0.0012377,0.0012377
79,1540.91,0.95202,1.23876,0.16029,0.4957,1.34092,0.99961,0.98413,0.985,0.72702,0.989,0.97354,0.97419,0.8003,0.94607,0.76836,0.11655,0.36966,1.40036,0.0012278,0.0012278,0.0012278
80,1563.15,0.91595,1.18575,0.15768,0.49462,1.31891,0.99963,0.98413,0.985,0.71354,0.99426,0.97884,0.97339,0.79102,1.01818,0.75291,0.12215,0.38001,1.49773,0.0012179,0.0012179,0.0012179
81,1585.41,0.92309,1.17238,0.16093,0.46876,1.3234,0.99965,0.98413,0.985,0.72888,0.99428,0.97884,0.9721,0.80839,0.96694,0.71866,0.12126,0.37308,1.43177,0.001208,0.001208,0.001208
82,1608.63,0.92571,1.24439,0.15512,0.48698,1.322,0.99964,0.98413,0.985,0.72241,0.98907,0.97354,0.97073,0.80701,0.96581,0.73941,0.11791,0.35996,1.42303,0.0011981,0.0011981,0.0011981
83,1631.11,0.92199,1.18751,0.15613,0.477,1.323,0.9996,0.98413,0.985,0.72102,0.98908,0.97354,0.97116,0.81617,0.97872,0.73731,0.1177,0.37572,1.44095,0.0011882,0.0011882,0.0011882
84,1653.32,0.9339,1.24893,0.15739,0.48314,1.33489,0.99961,0.98413,0.985,0.72547,0.98912,0.97354,0.97057,0.80378,0.9744,0.72109,0.11886,0.37411,1.43226,0.0011783,0.0011783,0.0011783
85,1675.46,0.91552,1.15992,0.15694,0.4646,1.31408,0.99967,0.98413,0.985,0.7237,0.99429,0.97884,0.97301,0.80993,0.99975,0.73605,0.11361,0.37919,1.4622,0.0011684,0.0011684,0.0011684
86,1697.57,0.93579,1.11035,0.15338,0.48188,1.33064,0.99965,0.98413,0.985,0.72476,0.99427,0.97884,0.97269,0.82743,0.97169,0.71962,0.11293,0.37953,1.43432,0.0011585,0.0011585,0.0011585
87,1720.51,0.92853,1.19434,0.15503,0.47451,1.32802,0.99966,0.98413,0.985,0.73099,0.98899,0.97354,0.97089,0.81181,0.9525,0.72031,0.11133,0.35737,1.41232,0.0011486,0.0011486,0.0011486
88,1742.81,0.9251,1.13826,0.15508,0.4737,1.31903,0.99965,0.98413,0.985,0.73216,0.99428,0.97884,0.97038,0.80389,0.95337,0.7134,0.11434,0.35526,1.40762,0.0011387,0.0011387,0.0011387
89,1764.9,0.92087,1.11894,0.15274,0.491,1.31743,0.99966,0.98413,0.985,0.73099,0.99428,0.97884,0.97097,0.78518,0.94201,0.75618,0.1132,0.3663,1.41172,0.0011288,0.0011288,0.0011288
90,1786.84,0.92955,1.19036,0.15323,0.48388,1.32126,0.99963,0.98413,0.985,0.73748,0.99426,0.97884,0.97231,0.79359,0.9319,0.74508,0.10808,0.35345,1.39287,0.0011189,0.0011189,0.0011189
91,1809.52,0.93479,1.12153,0.14792,0.48302,1.34434,0.99964,0.98413,0.985,0.73132,0.99427,0.97884,0.97371,0.82121,0.95774,0.72762,0.11154,0.35972,1.39956,0.001109,0.001109,0.001109
92,1832.33,0.91404,1.14231,0.15319,0.48221,1.30587,0.99962,0.98413,0.985,0.73442,0.99425,0.97884,0.97226,0.83253,0.9702,0.72748,0.10891,0.35458,1.41966,0.0010991,0.0010991,0.0010991
93,1855.86,0.92271,1.10454,0.152,0.47574,1.31427,0.99966,0.98413,0.985,0.72371,0.99428,0.97884,0.97151,0.81185,0.9426,0.70931,0.11419,0.34139,1.39797,0.0010892,0.0010892,0.0010892
94,1878.33,0.91515,1.14833,0.15211,0.48338,1.31223,0.99964,0.98413,0.985,0.73367,0.99427,0.97884,0.97204,0.83025,0.9411,0.70115,0.11451,0.34893,1.40282,0.0010793,0.0010793,0.0010793
95,1900.66,0.91269,1.10866,0.15314,0.47072,1.31242,0.99965,0.98413,0.985,0.72947,0.99427,0.97884,0.97441,0.81078,0.96754,0.69773,0.11277,0.35527,1.42774,0.0010694,0.0010694,0.0010694
96,1923.07,0.89808,1.11912,0.15428,0.46105,1.28959,0.99966,0.98413,0.985,0.72676,0.99428,0.97884,0.97296,0.81633,0.9529,0.70466,0.11031,0.33372,1.41481,0.0010595,0.0010595,0.0010595
97,1945.18,0.89691,1.08091,0.15156,0.46445,1.30242,0.99967,0.98413,0.985,0.72518,0.9943,0.97884,0.97355,0.79811,0.95085,0.72157,0.11392,0.35219,1.40925,0.0010496,0.0010496,0.0010496
98,1967.23,0.89453,1.03177,0.14798,0.45629,1.30586,0.99965,0.98413,0.985,0.73362,0.99428,0.97884,0.97161,0.80221,0.92153,0.72527,0.11599,0.33121,1.38643,0.0010397,0.0010397,0.0010397
99,1989.56,0.90626,1.12494,0.14692,0.45316,1.31639,0.99969,0.98413,0.985,0.73942,0.99431,0.97884,0.97382,0.81834,0.93428,0.69222,0.11304,0.36322,1.39368,0.0010298,0.0010298,0.0010298
100,2011.73,0.88712,1.10758,0.15045,0.45173,1.29843,0.99965,0.98413,0.985,0.73592,0.99427,0.97884,0.97478,0.80399,0.93849,0.71907,0.10973,0.34681,1.39151,0.0010199,0.0010199,0.0010199
101,2034.19,0.90704,1.12201,0.14637,0.46861,1.30034,0.99967,0.98413,0.985,0.74025,0.99429,0.97884,0.97306,0.79954,0.96023,0.74293,0.10978,0.3434,1.41887,0.00101,0.00101,0.00101
102,2056.82,0.89494,1.13676,0.15196,0.45486,1.29498,0.99966,0.98413,0.985,0.73638,0.99428,0.97884,0.97339,0.81292,0.94214,0.70665,0.10946,0.34913,1.40088,0.0010001,0.0010001,0.0010001
103,2079.01,0.87143,1.04414,0.14822,0.44135,1.28147,0.99963,0.98413,0.985,0.74074,0.98895,0.97354,0.97159,0.8117,0.93079,0.71532,0.10795,0.33865,1.39336,0.0009902,0.0009902,0.0009902
104,2101.13,0.89541,1.05252,0.1458,0.46037,1.30808,0.99963,0.98413,0.985,0.73374,0.98912,0.97354,0.97311,0.79781,0.96262,0.70271,0.10993,0.34328,1.4353,0.0009803,0.0009803,0.0009803
105,2123.4,0.8843,1.03144,0.14681,0.44846,1.28631,0.99967,0.98413,0.985,0.72756,0.98912,0.97354,0.97186,0.81181,0.9486,0.69406,0.11302,0.35369,1.4021,0.0009704,0.0009704,0.0009704
106,2145.52,0.87698,0.98504,0.14343,0.45823,1.29376,0.99965,0.98413,0.985,0.73174,0.99428,0.97884,0.97473,0.8205,0.97924,0.68438,0.1113,0.35815,1.43233,0.0009605,0.0009605,0.0009605
107,2167.41,0.86913,1.02935,0.1475,0.44946,1.29477,0.99968,0.98413,0.985,0.72734,0.9943,0.97884,0.97371,0.82192,0.95207,0.65404,0.10448,0.35425,1.41575,0.0009506,0.0009506,0.0009506
108,2190.98,0.87757,1.11538,0.14444,0.45628,1.29824,0.99965,0.98413,0.985,0.72831,0.99428,0.97884,0.9728,0.8198,0.96223,0.68014,0.1073,0.34958,1.42452,0.0009407,0.0009407,0.0009407
109,2213.53,0.87574,0.99417,0.14299,0.4573,1.28344,0.99962,0.98413,0.985,0.73791,0.99425,0.97884,0.97409,0.8343,0.92819,0.66648,0.10918,0.34788,1.39162,0.0009308,0.0009308,0.0009308
110,2235.68,0.87686,1.02715,0.14447,0.45044,1.28814,0.99958,0.98413,0.985,0.72517,0.9942,0.97884,0.97247,0.81001,0.95161,0.69648,0.10941,0.35145,1.43337,0.0009209,0.0009209,0.0009209
111,2258,0.86541,0.99714,0.1435,0.45764,1.28325,0.99955,0.98413,0.985,0.72874,0.99418,0.97884,0.97113,0.81259,0.95552,0.67272,0.10545,0.34984,1.40641,0.000911,0.000911,0.000911
112,2280.08,0.85563,0.97619,0.1447,0.44,1.28235,0.99965,0.98413,0.985,0.74148,0.99427,0.97884,0.9728,0.81368,0.9326,0.68352,0.10803,0.33666,1.39554,0.0009011,0.0009011,0.0009011
113,2299.12,0.87755,0.92193,0.14405,0.44993,1.2888,0.99964,0.98413,0.985,0.73324,0.99427,0.97884,0.97199,0.82754,0.94302,0.66967,0.10372,0.33968,1.4255,0.0008912,0.0008912,0.0008912
114,2312.61,0.87431,0.96024,0.14326,0.45465,1.2831,0.99966,0.98413,0.985,0.72929,0.99428,0.97884,0.97043,0.79776,0.94228,0.7027,0.10523,0.33717,1.42413,0.0008813,0.0008813,0.0008813
115,2326.15,0.8573,0.99423,0.14124,0.43892,1.27091,0.99965,0.98413,0.985,0.73934,0.99427,0.97884,0.97258,0.8137,0.94859,0.70051,0.10487,0.34788,1.42071,0.0008714,0.0008714,0.0008714
116,2340.46,0.83062,1.00195,0.14022,0.43901,1.25695,0.99965,0.98413,0.985,0.74299,0.99427,0.97884,0.97258,0.8221,0.93768,0.66112,0.10379,0.33503,1.39767,0.0008615,0.0008615,0.0008615
117,2353.89,0.86466,1.05871,0.13857,0.4447,1.2809,0.99963,0.98413,0.985,0.73993,0.99425,0.97884,0.97226,0.81623,0.93596,0.68448,0.09663,0.34458,1.43046,0.0008516,0.0008516,0.0008516
118,2367.36,0.8524,1.01034,0.14032,0.42886,1.26162,0.9996,0.98413,0.985,0.74195,0.99423,0.97884,0.97371,0.81227,0.92674,0.68153,0.10332,0.33389,1.40954,0.0008417,0.0008417,0.0008417
